Identifier,Collection Date,Number of bubbles,Bubble Detector ID,Sensitivity (b/mrem),Calculated Exposure (mrem),City,Province/Territory
849d5554-9ed3-40da-8365-83c8a0c93a0f,2019-02-19T14:16:00.000-05:00,0,18051442,61,0,Deep River,Ontario
51d30129-a05c-4cf8-bc1e-4410c6257e0c,2019-02-19T12:29:00.000-07:00,3,18051351,56,0.053571429,Whitecourt,Alberta
b0d40d82-757c-46da-af44-e9306f2a3aea,2019-02-19T13:30:00.000-08:00,3,18046205,50,0.06,Sechelt,British Columbia
d5f82152-5e9b-4112-86a0-4471b05b6f82,2019-02-19T13:35:00.000-08:00,3,18046205,50,0.06,Sechelt,British Columbia
1fb1e547-c62b-4e89-82bb-1e4c45e9d9f5,2019-02-02T11:30:00.000-08:00,2,17072232,46,0.043478261,Port Hardy,British Columbia
1fb1e547-c62b-4e89-82bb-1e4c45e9d9f5,2019-02-05T11:00:00.000-08:00,0,17072232,46,0,Port Hardy,British Columbia
1fb1e547-c62b-4e89-82bb-1e4c45e9d9f5,2019-02-06T08:00:00.000-08:00,0,17072232,46,0,Port Hardy,British Columbia
1fb1e547-c62b-4e89-82bb-1e4c45e9d9f5,2019-02-07T08:00:00.000-08:00,1,17072232,46,0.02173913,Port Hardy,British Columbia
1fb1e547-c62b-4e89-82bb-1e4c45e9d9f5,2019-02-08T08:30:00.000-08:00,0,17072232,46,0,Port Hardy,British Columbia
1fb1e547-c62b-4e89-82bb-1e4c45e9d9f5,2019-02-12T08:00:00.000-08:00,5,17072232,46,0.108695652,Port Hardy,British Columbia
1fb1e547-c62b-4e89-82bb-1e4c45e9d9f5,2019-02-13T08:00:00.000-08:00,1,17072232,46,0.02173913,Port Hardy,British Columbia
1fb1e547-c62b-4e89-82bb-1e4c45e9d9f5,2019-02-14T08:00:00.000-08:00,1,17072232,46,0.02173913,Port Hardy,British Columbia
1fb1e547-c62b-4e89-82bb-1e4c45e9d9f5,2019-02-15T10:00:00.000-08:00,0,17072232,46,0,Port Hardy,British Columbia
2e8106c0-d481-446b-bbbb-c32740eef411,2019-02-20T07:17:00.000-05:00,0,18051554,47,0,Longueuil,Quebec
df5eceb7-3194-4e9a-86e0-b5e9f1ac8413,2019-02-20T07:18:00.000-05:00,0,18051554,47,0,Longueuil,Quebec
6648c712-0630-4539-af6d-f59cd463ae54,2019-02-20T07:19:00.000-05:00,0,18051554,47,0,Longueuil,Quebec
959484ae-c895-403a-83df-59404e44b9f6,2019-02-20T12:11:00.000-05:00,0,17170336,56,0,Petawawa,Ontario
4a18ec7e-d7a8-4cd0-8d1d-8f02893c05ad,2019-02-20T12:27:00.000-05:00,0,18129243,51,0,Ottawa,Ontario
0b35e95b-f234-4bdd-b0b0-4048847dfe28,2019-02-20T14:03:00.000-04:00,1,18051203,58,0.017,Bridgewater,Nova Scotia
4ea0356b-8ca6-4493-912a-866f9ff95eeb,2019-02-20T13:08:00.000-05:00,2,18130212,49,0.040816327,East Angus,Quebec
63579a04-e81b-4dfe-93e7-8d1ce3131de4,2019-02-20T15:30:00.000-03:30,6,18051415,54,0.111111111,Channel-Port Aux Basques,Newfoundland and Labrador
02af2a79-c8f7-4353-9163-8755a007df08,2019-02-20T15:20:00.000-04:00,1,18046215,48,0.020833333,Bridgewater,Nouvelle-?cosse
849d5554-9ed3-40da-8365-83c8a0c93a0f,2019-02-20T14:54:00.000-05:00,1,18051442,61,0.016393443,Deep River,Ontario
c7ac3b2b-09d0-445f-809f-408a1c8456d4,2019-02-20T15:00:00.000-05:00,0,18051426,45,0,Eganville,Ontario
1d00beaf-16c0-43ea-88c5-34e773c1392d,2019-02-20T12:00:00.000-08:00,0,18051404,58,0,Chilliwack,British Columbia
51d30129-a05c-4cf8-bc1e-4410c6257e0c,2019-02-20T13:59:00.000-07:00,0,18051351,56,0,Whitecourt,Alberta
959484ae-c895-403a-83df-59404e44b9f6,2019-02-21T07:52:00.000-05:00,1,17170336,56,0.01785714,Petawawa,Ontario
d9e458d6-b7ce-4bf1-8ba3-62958a948c59,2019-02-21T08:28:00.000-05:00,1,18051343,52,0.019230769,Trenton,Ontario
1b4e620c-6c96-42ed-aab1-63e3409a5de5,2019-02-20T08:45:00.000-05:00,0,18129211,55,0,Mississauga,Ontario
