Identifier,Collection Date,Number of bubbles,Bubble Detector ID,Sensitivity (b/mrem),Calculated Exposure (mrem),City,Province/Territory,,Calculated Exposure Day 7
1fb1e547-c62b-4e89-82bb-1e4c45e9d9f5,2/20/2019,1,17072232,46,0.02173913,Port Hardy,British Columbia,,
1fb1e547-c62b-4e89-82bb-1e4c45e9d9f5,2/21/2019,1,17072232,46,0.02173913,Port Hardy,British Columbia,,0.02173913
1fb1e547-c62b-4e89-82bb-1e4c45e9d9f5,4/4/2019,1,18051506,46,0.02173913,Port Hardy,British Columbia,,
1fb1e547-c62b-4e89-82bb-1e4c45e9d9f5,4/5/2019,1,18051506,46,0.02173913,Port Hardy,British Columbia,,
1fb1e547-c62b-4e89-82bb-1e4c45e9d9f5,4/8/2019,4,18051506,46,0.086956522,Port Hardy,British Columbia,,
1fb1e547-c62b-4e89-82bb-1e4c45e9d9f5,4/10/2019,1,18051506,46,0.02173913,Port Hardy,British Columbia,,
1fb1e547-c62b-4e89-82bb-1e4c45e9d9f5,4/11/2019,1,18051506,46,0.02173913,Port Hardy,British Columbia,,
1fb1e547-c62b-4e89-82bb-1e4c45e9d9f5,4/15/2019,2,18051506,46,0.043478261,Port Hardy,British Columbia,,0.043478261
1fb1e547-c62b-4e89-82bb-1e4c45e9d9f5,4/17/2019,2,18051506,46,0.043478261,Port Hardy,British Columbia,,
27483cd4-ea09-420f-83b2-09f75f2e02e9,2/21/2019,1,17170137,67,0.014925,Stouffville,Ontario,,
27483cd4-ea09-420f-83b2-09f75f2e02e9,2/21/2019,3,18129245,55,0.054545455,Stouffville,Ontario,,
27483cd4-ea09-420f-83b2-09f75f2e02e9,2/22/2019,2,18129245,55,0.036363636,Stouffville,Ontario,,
27483cd4-ea09-420f-83b2-09f75f2e02e9,2/23/2019,2,17170137,67,0.02985,Stouffville,Ontario,,
27483cd4-ea09-420f-83b2-09f75f2e02e9,2/24/2019,2,17170137,67,0.02985,Stouffville,Ontario,,
27483cd4-ea09-420f-83b2-09f75f2e02e9,2/25/2019,1,18129245,55,0.018181818,Stouffville,Ontario,,
27483cd4-ea09-420f-83b2-09f75f2e02e9,2/26/2019,1,17170137,67,0.014925,Stouffville,Ontario,,
27483cd4-ea09-420f-83b2-09f75f2e02e9,2/27/2019,2,18129245,55,0.036363636,Stouffville,Ontario,,
27483cd4-ea09-420f-83b2-09f75f2e02e9,2/28/2019,1,18129245,55,0.018181818,Stouffville,Ontario,,0.054545455
27483cd4-ea09-420f-83b2-09f75f2e02e9,3/4/2019,1,18129245,55,0.018181818,Stouffville,Ontario,,
27483cd4-ea09-420f-83b2-09f75f2e02e9,3/6/2019,3,18129245,55,0.054545455,Stouffville,Ontario,,0.036363636
27483cd4-ea09-420f-83b2-09f75f2e02e9,3/20/2019,1,18129245,55,0.018181818,Stouffville,Ontario,,
27483cd4-ea09-420f-83b2-09f75f2e02e9,4/22/2019,2,18129245,55,0.036363636,Stouffville,Ontario,,
2e8106c0-d481-446b-bbbb-c32740eef411,2/22/2019,1,18051554,47,0.021276596,Longueuil,Quebec,,
2e8106c0-d481-446b-bbbb-c32740eef411,2/24/2019,1,18051554,47,0.021276596,Longueuil,Quebec,,0.021276596
306cd52f-3cb5-4ac9-b5e5-f92371c34ba2,3/19/2019,1,18046241,48,0.02083333,Ottawa,Ontario,,
306cd52f-3cb5-4ac9-b5e5-f92371c34ba2,4/2/2019,1,18046241,48,0.0208333,Ottawa,Ontario,,
306cd52f-3cb5-4ac9-b5e5-f92371c34ba2,4/16/2019,2,18046241,48,0.0416666,Ottawa,Ontario,,0.0416666
3327c487-1873-40a5-81eb-ebf0c4296959,1/22/2019,2,17072232,46,0.043478261,Port Hardy,British Columbia,,
3327c487-1873-40a5-81eb-ebf0c4296959,1/23/2019,1,17072232,46,0.02173913,Port Hardy,British Columbia,,
3327c487-1873-40a5-81eb-ebf0c4296959,1/24/2019,2,17072232,46,0.043478261,Port Hardy,British Columbia,,
3327c487-1873-40a5-81eb-ebf0c4296959,1/25/2019,2,17072232,46,0.043478261,Port Hardy,British Columbia,,
3327c487-1873-40a5-81eb-ebf0c4296959,1/31/2019,1,17072232,46,0.02173913,Port Hardy,British Columbia,,
3327c487-1873-40a5-81eb-ebf0c4296959,2/1/2019,4,17072232,46,0.086956522,Port Hardy,British Columbia,,0.086956522
3327c487-1873-40a5-81eb-ebf0c4296959,4/23/2019,1,18051506,46,0.02173913,Port Hardy,British Columbia,,
3327c487-1873-40a5-81eb-ebf0c4296959,4/24/2019,11,18051506,46,0.239130435,Port Hardy,British Columbia,,
3327c487-1873-40a5-81eb-ebf0c4296959,4/25/2019,1,18051506,46,0.02173913,Port Hardy,British Columbia,,
3327c487-1873-40a5-81eb-ebf0c4296959,4/26/2019,2,18051506,46,0.043478261,Port Hardy,British Columbia,,
3327c487-1873-40a5-81eb-ebf0c4296959,4/29/2019,2,18051506,46,0.043478261,Port Hardy,British Columbia,,
3327c487-1873-40a5-81eb-ebf0c4296959,4/30/2019,1,18051506,46,0.02173913,Port Hardy,British Columbia,,0.02173913
3327c487-1873-40a5-81eb-ebf0c4296959,5/1/2019,1,18051506,46,0.02173913,Port Hardy,British Columbia,,
3327c487-1873-40a5-81eb-ebf0c4296959,5/2/2019,2,18051506,46,0.043478261,Port Hardy,British Columbia,,
3327c487-1873-40a5-81eb-ebf0c4296959,5/6/2019,1,18051506,46,0.02173913,Port Hardy,British Columbia,,
3327c487-1873-40a5-81eb-ebf0c4296959,5/7/2019,2,18051506,46,0.043478261,Port Hardy,British Columbia,,0.043478261
3327c487-1873-40a5-81eb-ebf0c4296959,5/9/2019,1,18051506,46,0.02173913,Port Hardy,British Columbia,,
3a14d714-55c7-4dab-897e-92adf6d0dcf9,4/18/2019,3,17129205,49,0.0612,Markham,Ontario,,
3a14d714-55c7-4dab-897e-92adf6d0dcf9,4/23/2019,9,17129205,49,0.1837,Markham,Ontario,,
3a14d714-55c7-4dab-897e-92adf6d0dcf9,4/24/2019,6,17129205,49,0.122,Markham,Ontario,,
3a14d714-55c7-4dab-897e-92adf6d0dcf9,4/26/2019,7,17129205,49,0.143,Markham,Ontario,,0.143
3a14d714-55c7-4dab-897e-92adf6d0dcf9,4/29/2019,6,17129205,49,0.122,Markham,Ontario,,
3a81f8f1-0ebf-4d14-9e5c-5d03cd8e9682,2/19/2019,1,18051544,55,0.018181818,Montreal,Quebec,,
3a81f8f1-0ebf-4d14-9e5c-5d03cd8e9682,2/21/2019,1,18051544,55,0.018181818,Montreal,Quebec,,
3a81f8f1-0ebf-4d14-9e5c-5d03cd8e9682,2/22/2019,1,18051544,55,0.018181818,Montreal,Quebec,,0.018181818
3c60c77a-a9f5-4e56-a425-e3c187faf59e,3/21/2019,9,18046221,53,0.16,Montreal,Quebec,,
3c60c77a-a9f5-4e56-a425-e3c187faf59e,3/25/2019,12,18046221,53,0.22,Montreal,Quebec,,
3c60c77a-a9f5-4e56-a425-e3c187faf59e,3/27/2019,13,18046221,53,0.24,Montreal,Quebec,,
3c60c77a-a9f5-4e56-a425-e3c187faf59e,3/28/2019,13,18046221,53,0.24,Montreal,Quebec,,0.24
3c60c77a-a9f5-4e56-a425-e3c187faf59e,3/29/2019,13,18046221,53,0.24,Montreal,Quebec,,
3c60c77a-a9f5-4e56-a425-e3c187faf59e,4/1/2019,14,18046221,53,0.26,Montreal,Quebec,,
3c60c77a-a9f5-4e56-a425-e3c187faf59e,4/2/2019,14,18046221,53,0.26,Montreal,Quebec,,
3c60c77a-a9f5-4e56-a425-e3c187faf59e,4/3/2019,15,18046221,53,0.28,Montreal,Quebec,,
3c60c77a-a9f5-4e56-a425-e3c187faf59e,4/4/2019,14,18046221,53,0.26,Montreal,Quebec,,
3c60c77a-a9f5-4e56-a425-e3c187faf59e,4/8/2019,15,18046221,53,0.28,Montreal,Quebec,,0.28
3c60c77a-a9f5-4e56-a425-e3c187faf59e,4/9/2019,16,18046221,53,0.3,Montreal,Quebec,,
3c60c77a-a9f5-4e56-a425-e3c187faf59e,4/10/2019,16,18046221,53,0.3,Montreal,Quebec,,
3c60c77a-a9f5-4e56-a425-e3c187faf59e,4/11/2019,15,18046221,53,0.28,Montreal,Quebec,,
3c60c77a-a9f5-4e56-a425-e3c187faf59e,4/12/2019,16,18046221,53,0.3,Montreal,Quebec,,
3c60c77a-a9f5-4e56-a425-e3c187faf59e,4/15/2019,16,18046221,53,0.3,Montreal,Quebec,,
3c60c77a-a9f5-4e56-a425-e3c187faf59e,4/16/2019,15,18046221,53,0.28,Montreal,Quebec,,
